SIADL,interneuron
SIADR,interneuron
SIAVL,interneuron
SIAVR,interneuron
SIBDL,interneuron
SIBDR,interneuron
SIBVL,interneuron
SIBVR,interneuron
SMBDL,motorneuron
SMBDR,motorneuron
SMBVL,motorneuron
SMBVR,motorneuron
SMDDL,motorneuron
SMDDR,motorneuron
SMDVL,motorneuron
SMDVR,motorneuron
URADL,sensoryneuron
URADR,sensoryneuron
URAVL,sensoryneuron
URAVR,sensoryneuron
URBL,sensoryneuron
URBR,sensoryneuron
URXL,sensoryneuron
URXR,sensoryneuron
URYDL,sensoryneuron
URYDR,sensoryneuron
URYVL,sensoryneuron
URYVR,sensoryneuron
VA1,motorneuron
VA10,motorneuron
VA11,motorneuron
VA12,motorneuron
VA2,motorneuron
VA3,motorneuron
VA4,motorneuron
VA5,motorneuron
VA6,motorneuron
VA7,motorneuron
VA8,motorneuron
VA9,motorneuron
VB1,motorneuron
VB10,motorneuron
VB11,motorneuron
VB2,motorneuron
VB3,motorneuron
VB4,motorneuron
VB5,motorneuron
VB6,motorneuron
VB7,motorneuron
VB8,motorneuron
VB9,motorneuron
VC1,motorneuron
VC2,motorneuron
VC3,motorneuron
VC4,motorneuron
VC5,motorneuron
VC6,motorneuron
VD1,motorneuron
VD10,motorneuron
VD11,motorneuron
VD12,motorneuron
VD13,motorneuron
VD2,motorneuron
VD3,motorneuron
VD4,motorneuron
VD5,motorneuron
VD6,motorneuron
VD7,motorneuron
VD8,motorneuron
VD9,motorneuron
